course_id,course_name,department,instructor,building,room,semester,section,day_of_week,start_time,end_time
Economics301,Introduction to Economics 18,Economics,Prof. Oe,Science Complex,SC-509,Spring,C,Sat,12:30,13:30
Economics301,Introduction to Economics 18,Economics,Prof. Oe,Science Complex,SC-509,Spring,C,Mon,12:30,13:30
Chemistry320,Introduction to Chemistry 19,Chemistry,Prof. Tb,Central Library Building,CLB-207,Fall,B,Wed,15:30,16:30
Chemistry320,Introduction to Chemistry 19,Chemistry,Prof. Tb,Central Library Building,CLB-207,Fall,B,Tue,15:30,16:30
Bio350,Introduction to Bio 20,Bio,Prof. Kp,Science Complex,SC-404,Fall,B,Thu,09:00,10:00
Bio350,Introduction to Bio 20,Bio,Prof. Kp,Science Complex,SC-404,Fall,B,Sat,09:00,10:00
CE410,Introduction to CE 21,CE,Prof. Ly,Main Academic Block,MAB-108,Spring,B,Fri,09:30,10:30
CE410,Introduction to CE 21,CE,Prof. Ly,Main Academic Block,MAB-108,Spring,B,Tue,09:30,10:30
Bio308,Introduction to Bio 22,Bio,Prof. Mj,Engineering Tower,ET-405,Spring,A,Mon,15:30,16:30
Bio308,Introduction to Bio 22,Bio,Prof. Mj,Engineering Tower,ET-405,Spring,A,Wed,15:30,16:30
Bio308,Introduction to Bio 22,Bio,Prof. Mj,Engineering Tower,ET-405,Spring,A,Fri,15:30,16:30
Economics162,Introduction to Economics 23,Economics,Prof. Jv,Engineering Tower,ET-107,Fall,A,Tue,08:30,10:00
Economics162,Introduction to Economics 23,Economics,Prof. Jv,Engineering Tower,ET-107,Fall,A,Wed,08:30,10:00
Economics162,Introduction to Economics 23,Economics,Prof. Jv,Engineering Tower,ET-107,Fall,A,Fri,08:30,10:00
CS464,Introduction to CS 24,CS,Prof. Uc,Central Library Building,CLB-206,Spring,C,Tue,08:30,09:30
CS464,Introduction to CS 24,CS,Prof. Uc,Central Library Building,CLB-206,Spring,C,Sat,08:30,09:30
CS464,Introduction to CS 24,CS,Prof. Uc,Central Library Building,CLB-206,Spring,C,Thu,08:30,09:30
Economics360,Introduction to Economics 25,Economics,Prof. As,Central Library Building,CLB-303,Fall,C,Tue,14:30,15:30
Economics360,Introduction to Economics 25,Economics,Prof. As,Central Library Building,CLB-303,Fall,C,Thu,14:30,15:30
Economics360,Introduction to Economics 25,Economics,Prof. As,Central Library Building,CLB-303,Fall,C,Sat,14:30,15:30
Economics333,Introduction to Economics 26,Economics,Prof. Ta,Central Library Building,CLB-302,Spring,C,Mon,10:00,11:30
Economics333,Introduction to Economics 26,Economics,Prof. Ta,Central Library Building,CLB-302,Spring,C,Thu,10:00,11:30
Economics333,Introduction to Economics 26,Economics,Prof. Ta,Central Library Building,CLB-302,Spring,C,Sat,10:00,11:30
Bio181,Introduction to Bio 27,Bio,Prof. Sk,Science Complex,SC-101,Spring,C,Wed,14:00,15:30
Bio181,Introduction to Bio 27,Bio,Prof. Sk,Science Complex,SC-101,Spring,C,Fri,14:00,15:30
ME481,Introduction to ME 28,ME,Prof. Pj,Management Building,MB-508,Spring,A,Thu,10:30,12:00
ME481,Introduction to ME 28,ME,Prof. Pj,Management Building,MB-508,Spring,A,Mon,10:30,12:00
ME163,Introduction to ME 29,ME,Prof. Ox,Main Academic Block,MAB-509,Spring,B,Wed,14:00,15:30
ME163,Introduction to ME 29,ME,Prof. Ox,Main Academic Block,MAB-509,Spring,B,Thu,14:00,15:30
ME453,Introduction to ME 30,ME,Prof. Cm,Science Complex,SC-305,Fall,A,Thu,11:00,12:30
ME453,Introduction to ME 30,ME,Prof. Cm,Science Complex,SC-305,Fall,A,Wed,11:00,12:30
CS491,Introduction to CS 31,CS,Prof. If,Engineering Tower,ET-202,Spring,A,Sat,15:00,16:30
CS491,Introduction to CS 31,CS,Prof. If,Engineering Tower,ET-202,Spring,A,Tue,15:00,16:30
CS491,Introduction to CS 31,CS,Prof. If,Engineering Tower,ET-202,Spring,A,Wed,15:00,16:30
CE107,Introduction to CE 32,CE,Prof. Zs,Main Academic Block,MAB-502,Fall,B,Tue,11:00,12:30
CE107,Introduction to CE 32,CE,Prof. Zs,Main Academic Block,MAB-502,Fall,B,Thu,11:00,12:30
CE107,Introduction to CE 32,CE,Prof. Zs,Main Academic Block,MAB-502,Fall,B,Fri,11:00,12:30
Economics126,Introduction to Economics 33,Economics,Prof. Gr,Science Complex,SC-108,Spring,A,Mon,15:00,16:30
Economics126,Introduction to Economics 33,Economics,Prof. Gr,Science Complex,SC-108,Spring,A,Sat,15:00,16:30
EE180,Introduction to EE 34,EE,Prof. Ke,Engineering Tower,ET-105,Fall,C,Sat,11:30,13:00
EE180,Introduction to EE 34,EE,Prof. Ke,Engineering Tower,ET-105,Fall,C,Wed,11:30,13:00
EE180,Introduction to EE 34,EE,Prof. Ke,Engineering Tower,ET-105,Fall,C,Mon,11:30,13:00
Chemistry106,Introduction to Chemistry 35,Chemistry,Prof. Lr,Management Building,MB-502,Fall,B,Fri,10:00,11:00
Chemistry106,Introduction to Chemistry 35,Chemistry,Prof. Lr,Management Building,MB-502,Fall,B,Mon,10:00,11:00
