checkin_id,user_id,resource_name,checkin_time,checkout_time,duration_min,day_of_week,is_planned
96,u_071,Indoor Sports Complex,2026-08-08T07:18:00,2026-08-08T08:13:00,55,Saturday,True
9,u_008,Gymnasium,2026-08-08T07:53:00,2026-08-08T09:06:00,73,Saturday,True
228,u_161,Indoor Sports Complex,2026-08-08T07:53:00,2026-08-08T08:56:00,63,Saturday,True
56,u_045,Gymnasium,2026-08-08T07:55:00,2026-08-08T08:35:00,40,Saturday,True
68,u_052,Indoor Sports Complex,2026-08-08T07:56:00,2026-08-08T08:33:00,37,Saturday,True
7,u_006,Gymnasium,2026-08-08T08:00:00,2026-08-08T08:51:00,51,Saturday,True
156,u_119,Indoor Sports Complex,2026-08-08T08:00:00,2026-08-08T09:20:00,80,Saturday,True
19,u_019,Gymnasium,2026-08-08T08:06:00,2026-08-08T09:06:00,60,Saturday,True
163,u_123,Gymnasium,2026-08-08T08:08:00,2026-08-08T09:12:00,64,Saturday,True
65,u_050,Indoor Sports Complex,2026-08-08T08:09:00,2026-08-08T09:20:00,71,Saturday,True
77,u_060,Gymnasium,2026-08-08T08:11:00,2026-08-08T09:07:00,56,Saturday,True
93,u_070,Indoor Sports Complex,2026-08-08T08:12:00,2026-08-08T09:44:00,92,Saturday,True
131,u_100,Central Cafeteria,2026-08-08T08:15:00,2026-08-08T09:35:00,80,Saturday,True
145,u_111,Gymnasium,2026-08-08T08:18:00,2026-08-08T09:15:00,57,Saturday,True
175,u_125,Gymnasium,2026-08-08T08:19:00,2026-08-08T09:56:00,97,Saturday,True
218,u_154,Central Cafeteria,2026-08-08T08:19:00,2026-08-08T09:30:00,71,Saturday,True
257,u_185,Central Cafeteria,2026-08-08T08:20:00,2026-08-08T09:01:00,41,Saturday,True
42,u_036,Central Cafeteria,2026-08-08T08:21:00,2026-08-08T08:48:00,27,Saturday,True
179,u_127,Food Court,2026-08-08T08:22:00,2026-08-08T08:45:00,23,Saturday,True
82,u_063,Central Cafeteria,2026-08-08T08:31:00,2026-08-08T09:08:00,37,Saturday,True
14,u_014,Central Cafeteria,2026-08-08T08:37:00,2026-08-08T09:10:00,33,Saturday,True
167,u_123,Central Cafeteria,2026-08-08T08:37:00,2026-08-08T08:59:00,22,Saturday,True
252,u_182,Central Cafeteria,2026-08-08T08:40:00,2026-08-08T09:37:00,57,Saturday,True
4,u_003,Food Court,2026-08-08T08:49:00,2026-08-08T09:41:00,52,Saturday,True
90,u_069,Central Cafeteria,2026-08-08T08:51:00,2026-08-08T09:45:00,54,Saturday,True
133,u_101,Computer Lab A,2026-08-08T08:53:00,2026-08-08T09:55:00,62,Saturday,True
47,u_041,Computer Lab B,2026-08-08T08:54:00,2026-08-08T09:44:00,50,Saturday,True
141,u_106,Computer Lab A,2026-08-08T08:58:00,2026-08-08T09:51:00,53,Saturday,True
172,u_125,Computer Lab B,2026-08-08T09:00:00,2026-08-08T10:04:00,64,Saturday,True
99,u_074,Computer Lab B,2026-08-08T09:05:00,2026-08-08T10:32:00,87,Saturday,True
113,u_084,Computer Lab A,2026-08-08T09:07:00,2026-08-08T09:43:00,36,Saturday,True
115,u_084,Computer Lab B,2026-08-08T09:08:00,2026-08-08T10:56:00,108,Saturday,True
189,u_135,Computer Lab A,2026-08-08T09:14:00,2026-08-08T10:14:00,60,Saturday,True
92,u_070,Student Center,2026-08-08T09:15:00,2026-08-08T10:01:00,46,Saturday,True
158,u_120,Computer Lab A,2026-08-08T09:17:00,2026-08-08T09:59:00,42,Saturday,True
5,u_005,Computer Lab A,2026-08-08T09:41:00,2026-08-08T10:52:00,71,Saturday,True
87,u_066,Computer Lab B,2026-08-08T09:50:00,2026-08-08T11:27:00,97,Saturday,True
52,u_043,Computer Lab B,2026-08-08T09:52:00,2026-08-08T10:43:00,51,Saturday,True
232,u_163,Computer Lab B,2026-08-08T09:55:00,2026-08-08T11:30:00,95,Saturday,True
268,u_193,Student Center,2026-08-08T09:57:00,2026-08-08T10:41:00,44,Saturday,True
58,u_046,Computer Lab B,2026-08-08T09:59:00,2026-08-08T11:44:00,105,Saturday,True
23,u_021,Student Center,2026-08-08T10:00:00,2026-08-08T10:41:00,41,Saturday,True
105,u_078,Computer Lab B,2026-08-08T10:01:00,2026-08-08T11:11:00,70,Saturday,True
101,u_076,Student Center,2026-08-08T10:07:00,2026-08-08T10:46:00,39,Saturday,True
28,u_025,Computer Lab A,2026-08-08T10:08:00,2026-08-08T10:33:00,25,Saturday,False
259,u_187,WiFi Zone North,2026-08-08T10:44:00,2026-08-08T11:22:00,38,Saturday,False
13,u_012,Student Center,2026-08-08T10:45:00,2026-08-08T11:36:00,51,Saturday,True
248,u_177,Computer Lab B,2026-08-08T10:46:00,2026-08-08T11:30:00,44,Saturday,True
249,u_180,Student Center,2026-08-08T10:49:00,2026-08-08T11:37:00,48,Saturday,True
255,u_184,Gymnasium,2026-08-08T10:53:00,2026-08-08T11:11:00,18,Saturday,False
44,u_038,Computer Lab A,2026-08-08T10:57:00,2026-08-08T11:51:00,54,Saturday,True
127,u_094,Student Center,2026-08-08T10:57:00,2026-08-08T11:52:00,55,Saturday,True
3,u_002,Student Center,2026-08-08T10:58:00,2026-08-08T12:13:00,75,Saturday,True
224,u_157,Computer Lab B,2026-08-08T10:58:00,2026-08-08T12:34:00,96,Saturday,True
233,u_164,Student Center,2026-08-08T10:58:00,2026-08-08T12:24:00,86,Saturday,True
6,u_006,Computer Lab B,2026-08-08T10:59:00,2026-08-08T11:35:00,36,Saturday,True
219,u_154,Computer Lab A,2026-08-08T10:59:00,2026-08-08T11:53:00,54,Saturday,True
188,u_134,Student Center,2026-08-08T11:01:00,2026-08-08T12:00:00,59,Saturday,True
15,u_016,Computer Lab B,2026-08-08T11:07:00,2026-08-08T12:05:00,58,Saturday,True
273,u_196,Computer Lab A,2026-08-08T11:07:00,2026-08-08T11:47:00,40,Saturday,True
33,u_029,Computer Lab A,2026-08-08T11:18:00,2026-08-08T12:10:00,52,Saturday,True
221,u_155,Computer Lab A,2026-08-08T11:20:00,2026-08-08T12:49:00,89,Saturday,True
160,u_122,Student Center,2026-08-08T11:27:00,2026-08-08T12:47:00,80,Saturday,True
265,u_190,Student Center,2026-08-08T11:52:00,2026-08-08T13:12:00,80,Saturday,True
16,u_017,Student Center,2026-08-08T11:58:00,2026-08-08T13:30:00,92,Saturday,True
170,u_124,Computer Lab B,2026-08-08T11:58:00,2026-08-08T12:38:00,40,Saturday,True
256,u_185,Student Center,2026-08-08T12:01:00,2026-08-08T13:18:00,77,Saturday,True
181,u_130,Student Center,2026-08-08T12:02:00,2026-08-08T13:12:00,70,Saturday,True
186,u_134,Computer Lab A,2026-08-08T12:02:00,2026-08-08T12:37:00,35,Saturday,True
169,u_124,Student Center,2026-08-08T12:05:00,2026-08-08T12:58:00,53,Saturday,True
247,u_177,Food Court,2026-08-08T12:17:00,2026-08-08T13:00:00,43,Saturday,True
217,u_153,Food Court,2026-08-08T12:18:00,2026-08-08T13:01:00,43,Saturday,True
269,u_193,Food Court,2026-08-08T12:19:00,2026-08-08T13:16:00,57,Saturday,True
214,u_151,Central Cafeteria,2026-08-08T12:21:00,2026-08-08T13:09:00,48,Saturday,True
230,u_162,Central Cafeteria,2026-08-08T12:22:00,2026-08-08T13:20:00,58,Saturday,True
120,u_090,Central Cafeteria,2026-08-08T12:26:00,2026-08-08T12:54:00,28,Saturday,True
153,u_117,Central Cafeteria,2026-08-08T12:27:00,2026-08-08T13:18:00,51,Saturday,True
184,u_132,Food Court,2026-08-08T12:28:00,2026-08-08T13:30:00,62,Saturday,True
31,u_026,Food Court,2026-08-08T12:29:00,2026-08-08T13:13:00,44,Saturday,True
36,u_032,Central Cafeteria,2026-08-08T12:29:00,2026-08-08T13:31:00,62,Saturday,True
225,u_158,Central Cafeteria,2026-08-08T12:29:00,2026-08-08T13:13:00,44,Saturday,True
86,u_065,Central Cafeteria,2026-08-08T12:30:00,2026-08-08T13:49:00,79,Saturday,True
134,u_101,Central Cafeteria,2026-08-08T12:30:00,2026-08-08T13:20:00,50,Saturday,True
138,u_105,Food Court,2026-08-08T12:30:00,2026-08-08T12:57:00,27,Saturday,True
216,u_152,Food Court,2026-08-08T12:30:00,2026-08-08T13:44:00,74,Saturday,True
157,u_119,Central Cafeteria,2026-08-08T12:31:00,2026-08-08T13:50:00,79,Saturday,True
276,u_197,Central Cafeteria,2026-08-08T12:31:00,2026-08-08T13:36:00,65,Saturday,True
231,u_162,Student Center,2026-08-08T12:34:00,2026-08-08T14:10:00,96,Saturday,True
198,u_142,Central Cafeteria,2026-08-08T12:38:00,2026-08-08T13:38:00,60,Saturday,True
187,u_134,Food Court,2026-08-08T12:43:00,2026-08-08T13:48:00,65,Saturday,True
111,u_081,Computer Lab A,2026-08-08T12:44:00,2026-08-08T14:33:00,109,Saturday,True
106,u_079,Computer Lab A,2026-08-08T12:49:00,2026-08-08T13:41:00,52,Saturday,True
271,u_193,Computer Lab B,2026-08-08T12:53:00,2026-08-08T13:43:00,50,Saturday,True
243,u_173,Student Center,2026-08-08T12:57:00,2026-08-08T14:31:00,94,Saturday,True
139,u_106,Student Center,2026-08-08T12:58:00,2026-08-08T14:42:00,104,Saturday,True
140,u_106,Computer Lab B,2026-08-08T12:59:00,2026-08-08T14:00:00,61,Saturday,True
213,u_151,Computer Lab B,2026-08-08T13:01:00,2026-08-08T13:53:00,52,Saturday,True
12,u_010,Student Center,2026-08-08T13:02:00,2026-08-08T14:22:00,80,Saturday,True
212,u_150,Student Center,2026-08-08T13:02:00,2026-08-08T13:40:00,38,Saturday,True
202,u_144,Computer Lab B,2026-08-08T13:06:00,2026-08-08T14:20:00,74,Saturday,True
278,u_198,Student Center,2026-08-08T13:10:00,2026-08-08T14:16:00,66,Saturday,True
226,u_160,Student Center,2026-08-08T13:14:00,2026-08-08T14:48:00,94,Saturday,True
142,u_109,Computer Lab B,2026-08-08T13:16:00,2026-08-08T14:01:00,45,Saturday,True
204,u_146,Computer Lab A,2026-08-08T13:26:00,2026-08-08T14:21:00,55,Saturday,True
238,u_170,Student Center,2026-08-08T13:31:00,2026-08-08T15:13:00,102,Saturday,False
182,u_131,Student Center,2026-08-08T13:52:00,2026-08-08T15:11:00,79,Saturday,True
84,u_065,Student Center,2026-08-08T13:53:00,2026-08-08T14:29:00,36,Saturday,True
30,u_026,Food Court,2026-08-08T13:56:00,2026-08-08T14:21:00,25,Saturday,False
125,u_093,Computer Lab B,2026-08-08T13:56:00,2026-08-08T14:49:00,53,Saturday,True
83,u_064,Student Center,2026-08-08T13:57:00,2026-08-08T14:59:00,62,Saturday,True
89,u_067,Student Center,2026-08-08T13:57:00,2026-08-08T14:55:00,58,Saturday,True
261,u_187,Computer Lab B,2026-08-08T13:57:00,2026-08-08T14:57:00,60,Saturday,True
55,u_044,Student Center,2026-08-08T14:03:00,2026-08-08T14:55:00,52,Saturday,True
2,u_001,Student Center,2026-08-08T14:04:00,2026-08-08T15:53:00,109,Saturday,True
197,u_141,Computer Lab A,2026-08-08T14:08:00,2026-08-08T15:03:00,55,Saturday,True
144,u_110,Computer Lab A,2026-08-08T14:10:00,2026-08-08T15:01:00,51,Saturday,True
151,u_116,Student Center,2026-08-08T14:12:00,2026-08-08T15:21:00,69,Saturday,True
41,u_036,Student Center,2026-08-08T14:13:00,2026-08-08T14:56:00,43,Saturday,True
165,u_123,Student Center,2026-08-08T14:17:00,2026-08-08T15:50:00,93,Saturday,True
27,u_024,Computer Lab A,2026-08-08T14:42:00,2026-08-08T15:54:00,72,Saturday,True
49,u_041,Computer Lab A,2026-08-08T14:47:00,2026-08-08T15:42:00,55,Saturday,True
17,u_018,Computer Lab A,2026-08-08T14:52:00,2026-08-08T15:39:00,47,Saturday,True
118,u_087,Student Center,2026-08-08T14:59:00,2026-08-08T15:51:00,52,Saturday,True
75,u_058,Computer Lab B,2026-08-08T15:00:00,2026-08-08T16:04:00,64,Saturday,True
209,u_148,Computer Lab A,2026-08-08T15:00:00,2026-08-08T16:01:00,61,Saturday,True
242,u_172,Computer Lab B,2026-08-08T15:01:00,2026-08-08T15:43:00,42,Saturday,True
251,u_182,Computer Lab B,2026-08-08T15:07:00,2026-08-08T16:29:00,82,Saturday,False
146,u_112,Student Center,2026-08-08T15:11:00,2026-08-08T16:01:00,50,Saturday,True
279,u_199,Science Library,2026-08-08T15:37:00,2026-08-08T16:55:00,78,Saturday,True
45,u_039,Main Library,2026-08-08T15:39:00,2026-08-08T17:26:00,107,Saturday,True
103,u_077,Science Library,2026-08-08T15:46:00,2026-08-08T16:55:00,69,Saturday,True
121,u_091,Computer Lab B,2026-08-08T15:49:00,2026-08-08T16:34:00,45,Saturday,True
62,u_049,Computer Lab A,2026-08-08T15:50:00,2026-08-08T16:57:00,67,Saturday,True
275,u_196,Science Library,2026-08-08T15:52:00,2026-08-08T18:03:00,131,Saturday,True
43,u_038,Science Library,2026-08-08T15:53:00,2026-08-08T19:09:00,196,Saturday,True
72,u_056,Student Center,2026-08-08T15:55:00,2026-08-08T17:19:00,84,Saturday,True
91,u_070,Main Library,2026-08-08T15:58:00,2026-08-08T17:10:00,72,Saturday,True
178,u_126,Computer Lab B,2026-08-08T15:59:00,2026-08-08T16:45:00,46,Saturday,True
207,u_147,Student Center,2026-08-08T15:59:00,2026-08-08T17:26:00,87,Saturday,True
11,u_010,Science Library,2026-08-08T16:00:00,2026-08-08T18:08:00,128,Saturday,True
80,u_063,Student Center,2026-08-08T16:00:00,2026-08-08T17:44:00,104,Saturday,True
116,u_085,Student Center,2026-08-08T16:01:00,2026-08-08T16:59:00,58,Saturday,True
88,u_066,Main Library,2026-08-08T16:02:00,2026-08-08T17:15:00,73,Saturday,True
135,u_102,Science Library,2026-08-08T16:03:00,2026-08-08T17:59:00,116,Saturday,True
223,u_156,Computer Lab B,2026-08-08T16:03:00,2026-08-08T17:38:00,95,Saturday,True
29,u_025,Computer Lab B,2026-08-08T16:05:00,2026-08-08T17:18:00,73,Saturday,True
162,u_122,Main Library,2026-08-08T16:05:00,2026-08-08T18:16:00,131,Saturday,True
206,u_147,Main Library,2026-08-08T16:05:00,2026-08-08T18:13:00,128,Saturday,True
164,u_123,Computer Lab B,2026-08-08T16:06:00,2026-08-08T16:56:00,50,Saturday,True
95,u_071,Computer Lab A,2026-08-08T16:07:00,2026-08-08T17:06:00,59,Saturday,True
114,u_084,Science Library,2026-08-08T16:07:00,2026-08-08T17:04:00,57,Saturday,True
171,u_125,Science Library,2026-08-08T16:09:00,2026-08-08T17:21:00,72,Saturday,True
112,u_082,Gymnasium,2026-08-08T16:37:00,2026-08-08T18:14:00,97,Saturday,True
254,u_183,Science Library,2026-08-08T16:47:00,2026-08-08T18:15:00,88,Saturday,True
130,u_099,Main Library,2026-08-08T16:51:00,2026-08-08T17:56:00,65,Saturday,True
122,u_092,Indoor Sports Complex,2026-08-08T16:58:00,2026-08-08T18:38:00,100,Saturday,True
194,u_140,Gymnasium,2026-08-08T17:00:00,2026-08-08T18:15:00,75,Saturday,True
208,u_148,Indoor Sports Complex,2026-08-08T17:00:00,2026-08-08T18:37:00,97,Saturday,True
150,u_115,Main Library,2026-08-08T17:01:00,2026-08-08T20:12:00,191,Saturday,True
196,u_141,Main Library,2026-08-08T17:01:00,2026-08-08T20:21:00,200,Saturday,True
54,u_044,Indoor Sports Complex,2026-08-08T17:03:00,2026-08-08T18:12:00,69,Saturday,True
195,u_140,Science Library,2026-08-08T17:06:00,2026-08-08T19:01:00,115,Saturday,True
229,u_162,Indoor Sports Complex,2026-08-08T17:08:00,2026-08-08T18:01:00,53,Saturday,True
190,u_136,Science Library,2026-08-08T17:11:00,2026-08-08T20:24:00,193,Saturday,True
211,u_150,Science Library,2026-08-08T17:12:00,2026-08-08T19:00:00,108,Saturday,True
74,u_058,Science Library,2026-08-08T17:14:00,2026-08-08T18:27:00,73,Saturday,True
46,u_039,Gymnasium,2026-08-08T17:40:00,2026-08-08T18:26:00,46,Saturday,True
39,u_034,Indoor Sports Complex,2026-08-08T17:51:00,2026-08-08T19:39:00,108,Saturday,True
67,u_051,Indoor Sports Complex,2026-08-08T17:52:00,2026-08-08T19:06:00,74,Saturday,True
200,u_144,Indoor Sports Complex,2026-08-08T17:52:00,2026-08-08T18:43:00,51,Saturday,True
176,u_126,Indoor Sports Complex,2026-08-08T17:53:00,2026-08-08T18:43:00,50,Saturday,True
35,u_031,Science Library,2026-08-08T17:54:00,2026-08-08T20:44:00,170,Saturday,True
235,u_167,Main Library,2026-08-08T17:55:00,2026-08-08T19:59:00,124,Saturday,True
51,u_042,Science Library,2026-08-08T17:56:00,2026-08-08T19:16:00,80,Saturday,True
22,u_021,Main Library,2026-08-08T17:59:00,2026-08-08T18:50:00,51,Saturday,True
173,u_125,Indoor Sports Complex,2026-08-08T18:00:00,2026-08-08T18:58:00,58,Saturday,True
97,u_072,Indoor Sports Complex,2026-08-08T18:01:00,2026-08-08T19:16:00,75,Saturday,True
185,u_133,Indoor Sports Complex,2026-08-08T18:02:00,2026-08-08T19:03:00,61,Saturday,True
154,u_118,Indoor Sports Complex,2026-08-08T18:03:00,2026-08-08T18:51:00,48,Saturday,True
166,u_123,Main Library,2026-08-08T18:05:00,2026-08-08T19:40:00,95,Saturday,True
203,u_145,Science Library,2026-08-08T18:05:00,2026-08-08T20:12:00,127,Saturday,True
81,u_063,Science Library,2026-08-08T18:10:00,2026-08-08T20:30:00,140,Saturday,True
37,u_033,Gymnasium,2026-08-08T18:14:00,2026-08-08T19:21:00,67,Saturday,True
240,u_170,Main Library,2026-08-08T18:14:00,2026-08-08T19:15:00,61,Saturday,True
132,u_100,Science Library,2026-08-08T18:15:00,2026-08-08T19:55:00,100,Saturday,True
63,u_050,WiFi Zone South,2026-08-08T18:18:00,2026-08-08T18:42:00,24,Saturday,False
126,u_094,Student Center,2026-08-08T18:22:00,2026-08-08T19:30:00,68,Saturday,False
69,u_054,Food Court,2026-08-08T18:38:00,2026-08-08T19:41:00,63,Saturday,True
70,u_054,Central Cafeteria,2026-08-08T18:39:00,2026-08-08T19:36:00,57,Saturday,True
161,u_122,Central Cafeteria,2026-08-08T18:41:00,2026-08-08T19:42:00,61,Saturday,True
26,u_023,Central Cafeteria,2026-08-08T18:45:00,2026-08-08T19:43:00,58,Saturday,True
71,u_055,Gymnasium,2026-08-08T18:48:00,2026-08-08T19:46:00,58,Saturday,True
109,u_081,Main Library,2026-08-08T18:48:00,2026-08-08T20:24:00,96,Saturday,True
168,u_124,Central Cafeteria,2026-08-08T18:48:00,2026-08-08T19:48:00,60,Saturday,True
50,u_042,Food Court,2026-08-08T18:49:00,2026-08-08T19:47:00,58,Saturday,True
152,u_116,Food Court,2026-08-08T18:49:00,2026-08-08T19:41:00,52,Saturday,True
262,u_189,Science Library,2026-08-08T18:51:00,2026-08-08T20:36:00,105,Saturday,True
159,u_121,Indoor Sports Complex,2026-08-08T18:52:00,2026-08-08T19:58:00,66,Saturday,True
148,u_112,Central Cafeteria,2026-08-08T18:55:00,2026-08-08T19:25:00,30,Saturday,True
8,u_007,Gymnasium,2026-08-08T18:56:00,2026-08-08T19:46:00,50,Saturday,True
236,u_168,Food Court,2026-08-08T18:56:00,2026-08-08T20:01:00,65,Saturday,True
253,u_183,Central Cafeteria,2026-08-08T18:57:00,2026-08-08T20:01:00,64,Saturday,True
20,u_019,Science Library,2026-08-08T18:58:00,2026-08-08T21:57:00,179,Saturday,True
239,u_170,Central Cafeteria,2026-08-08T18:58:00,2026-08-08T20:08:00,70,Saturday,True
34,u_030,Science Library,2026-08-08T18:59:00,2026-08-08T20:43:00,104,Saturday,True
177,u_126,Science Library,2026-08-08T18:59:00,2026-08-08T22:18:00,199,Saturday,True
191,u_137,Central Cafeteria,2026-08-08T18:59:00,2026-08-08T20:19:00,80,Saturday,True
244,u_174,Indoor Sports Complex,2026-08-08T18:59:00,2026-08-08T20:33:00,94,Saturday,True
21,u_020,Central Cafeteria,2026-08-08T19:00:00,2026-08-08T19:29:00,29,Saturday,True
38,u_034,Science Library,2026-08-08T19:00:00,2026-08-08T20:39:00,99,Saturday,True
61,u_048,Science Library,2026-08-08T19:01:00,2026-08-08T20:55:00,114,Saturday,True
85,u_065,Main Library,2026-08-08T19:01:00,2026-08-08T20:05:00,64,Saturday,True
104,u_078,Food Court,2026-08-08T19:01:00,2026-08-08T19:27:00,26,Saturday,True
110,u_081,Indoor Sports Complex,2026-08-08T19:01:00,2026-08-08T20:42:00,101,Saturday,True
24,u_022,Main Library,2026-08-08T19:02:00,2026-08-08T22:20:00,198,Saturday,True
183,u_131,Main Library,2026-08-08T19:02:00,2026-08-08T22:08:00,186,Saturday,True
237,u_169,Main Library,2026-08-08T19:03:00,2026-08-08T20:56:00,113,Saturday,True
246,u_176,Food Court,2026-08-08T19:04:00,2026-08-08T20:07:00,63,Saturday,True
267,u_192,Food Court,2026-08-08T19:05:00,2026-08-08T20:15:00,70,Saturday,True
100,u_075,Food Court,2026-08-08T19:06:00,2026-08-08T20:03:00,57,Saturday,True
40,u_036,Food Court,2026-08-08T19:07:00,2026-08-08T20:22:00,75,Saturday,True
98,u_073,Central Cafeteria,2026-08-08T19:08:00,2026-08-08T20:20:00,72,Saturday,True
210,u_150,Central Cafeteria,2026-08-08T19:09:00,2026-08-08T19:52:00,43,Saturday,True
1,u_001,Indoor Sports Complex,2026-08-08T19:10:00,2026-08-08T19:50:00,40,Saturday,True
147,u_112,Main Library,2026-08-08T19:12:00,2026-08-08T20:43:00,91,Saturday,True
263,u_189,Gymnasium,2026-08-08T19:13:00,2026-08-08T21:01:00,108,Saturday,True
220,u_154,Food Court,2026-08-08T19:15:00,2026-08-08T20:07:00,52,Saturday,True
227,u_161,Food Court,2026-08-08T19:17:00,2026-08-08T20:28:00,71,Saturday,True
25,u_023,Gymnasium,2026-08-08T19:18:00,2026-08-08T20:50:00,92,Saturday,True
264,u_190,Science Library,2026-08-08T19:21:00,2026-08-08T22:15:00,174,Saturday,True
245,u_175,Science Library,2026-08-08T19:24:00,2026-08-08T21:10:00,106,Saturday,False
258,u_186,Main Library,2026-08-08T19:25:00,2026-08-08T20:16:00,51,Saturday,True
180,u_129,Main Library,2026-08-08T19:39:00,2026-08-08T20:46:00,67,Saturday,True
128,u_095,Indoor Sports Complex,2026-08-08T19:41:00,2026-08-08T20:33:00,52,Saturday,True
78,u_062,Science Library,2026-08-08T19:45:00,2026-08-08T21:41:00,116,Saturday,True
274,u_196,Gymnasium,2026-08-08T19:48:00,2026-08-08T20:36:00,48,Saturday,True
266,u_192,Main Library,2026-08-08T19:50:00,2026-08-08T22:05:00,135,Saturday,True
117,u_086,Main Library,2026-08-08T19:54:00,2026-08-08T21:58:00,124,Saturday,True
192,u_138,Indoor Sports Complex,2026-08-08T19:58:00,2026-08-08T20:48:00,50,Saturday,True
260,u_187,Science Library,2026-08-08T20:00:00,2026-08-08T21:23:00,83,Saturday,True
124,u_092,Gymnasium,2026-08-08T20:01:00,2026-08-08T21:11:00,70,Saturday,True
155,u_118,Science Library,2026-08-08T20:06:00,2026-08-08T21:22:00,76,Saturday,True
60,u_048,Gymnasium,2026-08-08T20:07:00,2026-08-08T20:55:00,48,Saturday,True
94,u_071,Student Center,2026-08-08T20:12:00,2026-08-08T21:27:00,75,Saturday,False
107,u_079,Main Library,2026-08-08T20:12:00,2026-08-08T21:04:00,52,Saturday,True
201,u_144,Main Library,2026-08-08T20:12:00,2026-08-08T21:42:00,90,Saturday,True
59,u_047,Computer Lab A,2026-08-08T20:18:00,2026-08-08T21:44:00,86,Saturday,False
48,u_041,Main Library,2026-08-08T20:21:00,2026-08-08T22:06:00,105,Saturday,True
149,u_114,Main Library,2026-08-08T20:21:00,2026-08-08T22:31:00,130,Saturday,True
250,u_181,Computer Lab B,2026-08-08T20:34:00,2026-08-08T22:32:00,118,Saturday,False
53,u_043,Main Library,2026-08-08T20:49:00,2026-08-08T22:43:00,114,Saturday,True
123,u_092,Main Library,2026-08-08T20:54:00,2026-08-08T21:53:00,59,Saturday,True
10,u_009,Main Library,2026-08-08T20:56:00,2026-08-08T22:16:00,80,Saturday,True
18,u_018,Science Library,2026-08-08T21:00:00,2026-08-09T00:08:00,188,Saturday,True
136,u_103,Main Library,2026-08-08T21:00:00,2026-08-09T00:01:00,181,Saturday,True
102,u_077,Main Library,2026-08-08T21:01:00,2026-08-08T23:52:00,171,Saturday,True
119,u_089,Science Library,2026-08-08T21:01:00,2026-08-08T22:44:00,103,Saturday,True
174,u_125,Main Library,2026-08-08T21:08:00,2026-08-08T22:17:00,69,Saturday,True
66,u_051,Main Library,2026-08-08T21:16:00,2026-08-09T00:08:00,172,Saturday,True
583,u_196,Indoor Sports Complex,2026-08-09T05:48:00,2026-08-09T07:14:00,86,Sunday,True
579,u_194,Indoor Sports Complex,2026-08-09T05:54:00,2026-08-09T07:32:00,98,Sunday,True
443,u_112,Indoor Sports Complex,2026-08-09T06:00:00,2026-08-09T06:38:00,38,Sunday,True
481,u_134,Gymnasium,2026-08-09T06:00:00,2026-08-09T07:00:00,60,Sunday,True
508,u_150,Indoor Sports Complex,2026-08-09T06:00:00,2026-08-09T07:12:00,72,Sunday,True
487,u_136,Indoor Sports Complex,2026-08-09T06:02:00,2026-08-09T06:38:00,36,Sunday,True
454,u_119,Gymnasium,2026-08-09T06:05:00,2026-08-09T06:48:00,43,Sunday,True
412,u_089,Indoor Sports Complex,2026-08-09T06:09:00,2026-08-09T07:46:00,97,Sunday,True
328,u_032,Gymnasium,2026-08-09T06:10:00,2026-08-09T07:35:00,85,Sunday,True
394,u_072,Gymnasium,2026-08-09T06:10:00,2026-08-09T07:59:00,109,Sunday,True
